AFFILIATE_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES,COUNTRY_CODE,CONS_2016_x,SHARE_OF_UNRELATED_PARTY_REVENUES,SHARE_OF_RELATED_PARTY_REVENUES,SHARE_OF_TOTAL_REVENUES,CONS_2016_y,SHARE_OF_CONS_2016
ISL,Iceland,673757217.3610001,1211659790.627,1885417007.988,ISL,15029.5224345564,0.010478388085869561,0.03484865205033494,0.019028453010275257,15029.5224345564,0.02672946084579603
ISR,Israel,7168105090.665,10384946788.287,17553051886.59,ISR,246289.9210185995,0.11147960280778846,0.2986823529061596,0.1771530762668431,246289.9210185995,0.4380176967861958
ITA,Italy,179960620112.174,49321869299.32,229278523315.27,ITA,1484708.457118386,2.798778505253092,1.4185505494035324,2.313979129649223,1484708.457118386,2.640500171896477
JAM,Jamaica,267427409.031,114623507.795,382050916.826,JAM,12886.2019128058,0.004159077044994338,0.0032966966229602958,0.0038558249382262873,12886.2019128058,0.022917642990931852
JOR,Jordan,914767553.124,361094944.859,1275862497.9819999,JOR,38549.0883915493,0.014226622265418732,0.01038548294485738,0.012876562313570374,38549.0883915493,0.06855815634127696
JPN,Japan,221070246431.94202,30978217896.451,252048464703.60202,JPN,3720672.027547258,3.438122481902181,0.8909672046261792,2.543783336314869,3720672.027547258,6.617080330623845
KAZ,Kazakhstan,12556019270.575,4849788544.151,17405807813.622,KAZ,90844.1620879121,0.19527337049696938,0.1394851878392048,0.1756670246869313,90844.1620879121,0.16156304926994602
KEN,Kenya,1598968413.3140001,378892189.196,1977860604.617,KEN,66598.2640293494,0.024867431680177507,0.010897351028747468,0.01996143421660951,66598.2640293494,0.11844259846058257
KGZ,Kyrgyzstan,17774218.506,31583038.873,49357257.378,KGZ,6829.0092181598,0.00027642770218982645,0.0009083625130514864,0.0004981350272932896,6829.0092181598,0.01214514535024014
KHM,Cambodia,636481552.056,28450681.119000003,664932233.169,KHM,16279.5619912528,0.009898670530108676,0.0008182725007305954,0.0067107868976825505,16279.5619912528,0.028952610884787858
KNA,Saint Kitts and Nevis,144016287.0,41549110.0,185565397.0,KNA,861.9244340741,0.00223976605665571,0.001194997546829402,0.0018728071414374592,861.9244340741,0.0015329013621648417
KOR,Korea,66028770002.598,16520709410.446001,82549479042.437,KOR,948007.8450104675,1.0268907836413375,0.47515355244346724,0.8331254445709934,948007.8450104675,1.6859975880838869
KWT,Kuwait,1250707256.657,440897544.587,1691604801.244,KWT,77606.5220799548,0.019451214294070297,0.01268069241879241,0.01707241545825301,77606.5220799548,0.1380203863660411
LAO,Lao People's Democratic Republic,660132231.45,251549048.804,911681280.255,LAO,12591.6798875613,0.01026648996238947,0.0072348239523794735,0.009201086193760626,12591.6798875613,0.022393846245141923
LBN,Lebanon,1465053131.461,133290013.096,1598343166.69,LBN,52179.9006289798,0.022784758192269626,0.0038335655966296005,0.016131178255420084,52179.9006289798,0.0928000618032285
LBR,Liberia,701251.6,9086603.067,9787854.667,LBR,2358.0,1.0905985451878143e-05,0.0002613405768276991,9.878330990615433e-05,2358.0,0.004193617525029985
LBY,Libya,3345487211.721,208959581.703,3554446793.424,LBY,48885.611228567,0.05202959231818309,0.006009904604974283,0.035873031536067815,48885.611228567,0.08694128751905054
LCA,Saint Lucia,115023752.349,6195417.011,121219169.36,LCA,1594.7082607407,0.0017888691729739063,0.00017818692457504258,0.0012233968710045917,1594.7082607407,0.002836130835263904
LKA,Sri Lanka,1151209179.777,81347976.78299999,1232557156.562,LKA,65456.0575116503,0.0179038030953748,0.0023396561970935154,0.012439505868861757,65456.0575116503,0.11641122557261546
LSO,Lesotho,263895231.133,14173347.733,278068578.867,LSO,2469.4062968546,0.004104144007024751,0.00040764088018479974,0.0028063897080525357,2469.4062968546,0.004391749585627162
