AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,AFFILIATE_COUNTRY_NAME,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
MLT,EGY,Malta,13918125.37131897,-11932642.691791944,11589985.631982075
MLT,ESP,Malta,16747171.349141622,-14358112.639172489,13945805.92820879
MLT,FRA,Malta,31079703.79473924,-26646045.387232214,25880879.128275193
MLT,GBR,Malta,70196012.99530709,-60182238.56407213,58454048.97088788
MLT,GRC,Malta,13793912.132809566,-11826149.025929628,11486550.0319125
MLT,HKG,Malta,16853605.206197884,-14449363.231668139,14034436.17410243
MLT,IND,Malta,4843467.490370461,-4152525.243880878,4033281.575264769
MLT,IRL,Malta,24939877.488809254,-21382092.696498234,20768085.790802155
MLT,ITA,Malta,43263281.43456216,-37091581.32005988,36026461.67078279
MLT,JPN,Malta,15600689.37999797,-13375181.437922878,12991100.521036401
MLT,KOR,Malta,9580777.660722906,-8214036.983062082,7978163.184232788
MLT,LBY,Malta,6692621.912452814,-5737889.537704932,5573120.642055672
MLT,LTU,Malta,6053242.07817281,-5189720.08935936,5040692.395076742
MLT,LUX,Malta,4712001.490303543,-4039813.4552552123,3923806.4116763175
MLT,MEX,Malta,3730230.3589622136,-3198096.3559428477,3106260.0106653823
MLT,MLT,Malta,1470800621.8598151,-131128592.3067963,650864245.194122
MLT,NLD,Malta,36256838.56453493,-31084638.78448153,30192014.140783034
MLT,NOR,Malta,12220726.683991536,-10477385.500106258,10176517.519501217
MLT,OAFR,Malta,4300474.4732498415,-3686992.6031999444,3581117.1422827872
MLT,POL,Malta,8959959.011349456,-7681780.883785962,7461191.319535257
MLT,PRT,Malta,3834032.518090692,-3287090.673961358,3192698.7731259456
MLT,ROU,Malta,5822139.19905437,-4991585.067005886,4848247.006273739
MLT,RUS,Malta,6225944.312343089,-5337785.579319293,5184506.045208782
MLT,SAU,Malta,5309268.187150623,-4551877.393109195,4421165.951861508
MLT,SGP,Malta,33756957.48406054,-28941376.893282972,28110298.030934807
MLT,SWE,Malta,14485683.19330547,-12419235.858329482,12062605.818009268
MLT,TUR,Malta,6917155.640912098,-5930392.528048851,5760095.727946268
MLT,UKI,Malta,7150657.622732769,-6130584.4104005555,5954538.912077786
MLT,USA,Malta,55379234.215704575,-191121285.02560586,119078318.00276816
MMR,ARE,Myanmar,388210.1006856961,54582.64909327759,632009.1630856674
MMR,AUT,Myanmar,363474.4646450636,51104.79898139198,591739.3488669777
MMR,BGD,Myanmar,485096.04840973084,68204.89044493203,789740.264434327
MMR,CAN,Myanmar,449814.2132051297,63244.236337946946,732301.1532406702
MMR,CHE,Myanmar,508529.26843594055,71499.61982872958,827889.7349169552
MMR,CHN,Myanmar,17836828.98448381,2507872.3497334155,29038500.901120808
MMR,DEU,Myanmar,2805603.0814075484,394470.025939562,4567544.358838183
MMR,DNK,Myanmar,425924.7418073989,59885.35764822955,693408.901859342
MMR,ESP,Myanmar,920415.0250043579,129411.08498016026,1498443.0560075622
MMR,FRA,Myanmar,1219012.5437442034,171394.1337383269,1984562.2156710962
MMR,GBR,Myanmar,1526688.4984170282,214653.6178132727,2485461.141976443
MMR,HKG,Myanmar,525204.2049516289,73844.12917271853,855036.6655433669
MMR,IDN,Myanmar,619279.9839385593,87071.2585636091,1008192.7896090301
MMR,IND,Myanmar,3102797.8224616344,436255.84303878306,5051379.785158339
MMR,ITA,Myanmar,616105.3977648842,86624.90922126065,1003024.537811295
MMR,JPN,Myanmar,4672591.061077074,656970.0216266236,7607015.790513412
MMR,KOR,Myanmar,1955194.5545737066,274901.91031321604,3183072.444336616
