PARENT_COUNTRY_CODE,AFFILIATE_COUNTRY_CODE,OTHER_COUNTRY_CODE,UNRELATED_PARTY_REVENUES,RELATED_PARTY_REVENUES,TOTAL_REVENUES
USA,PRY,PER,952247.5118560087,5899224.242634972,4425440.991943646
USA,PRY,POL,976467.2596815763,6049266.875190255,4537998.980814518
USA,PRY,PRT,660109.5857018098,4089414.1725588297,3067769.653759367
USA,PRY,PRY,646030211.9439324,274927503.59831345,1530331244.1307077
USA,PRY,RUS,3988214.7468471862,24707203.564731225,18534686.41883994
USA,PRY,SAU,292827.8711227763,1814084.3160406004,1360877.7637281762
USA,PRY,TUN,500131.1236232134,3098339.04761146,2324291.4770290116
USA,PRY,TUR,1981592.0179113557,12276068.485902507,9209179.79431726
USA,PRY,URY,747905.6922005261,4633315.745855359,3475790.1356141097
USA,PRY,USA,30654170.577481747,851735462.0452956,403838071.3087597
USA,QAT,ARE,11420810.2941769,9302734.964888034,22720278.060568403
USA,QAT,ARG,3728445.1280979505,3036976.8838125146,7417276.695958127
USA,QAT,AUS,3006817.6727558635,2449180.677806291,5981688.85068307
USA,QAT,BEL,4434095.739682122,3611759.272127442,8821080.602671912
USA,QAT,BRA,4087449.080357505,3329400.847891558,8131470.296068877
USA,QAT,CHN,53735424.659759216,43769785.23934722,106899927.28405116
USA,QAT,DEU,6448662.907043686,5252709.77775709,12828810.793014344
USA,QAT,EGY,10627936.05015082,8656905.22403144,21142953.61271198
USA,QAT,ESP,7590015.00655973,6182389.529887276,15099388.483919501
USA,QAT,FRA,9549716.011709655,7778649.216525238,18997969.285606008
USA,QAT,GBR,14774299.168364063,12034294.057518274,29391626.041315686
USA,QAT,HKG,3057235.3656537803,2490248.0296394243,6081988.564302958
USA,QAT,IDN,6923677.600664458,5639629.417025995,13773793.298101777
USA,QAT,IND,63271216.65496965,51537092.75315588,125870196.47496744
USA,QAT,ITA,12177653.055183912,9919215.532762643,24225922.365594216
USA,QAT,JPN,85476515.58603333,69624251.6719167,170044869.9995809
USA,QAT,KOR,85878122.6874676,69951377.71012475,170843817.25294155
USA,QAT,MYS,4148703.967363838,3379295.5545232426,8253329.256116763
USA,QAT,NLD,3249558.1443312378,2646903.099784441,6464590.752447254
USA,QAT,OMN,2991378.8599692574,2436605.109188401,5950975.25765407
USA,QAT,PAK,13015121.292345477,10601368.974694716,25891961.002529316
USA,QAT,PHL,3446709.5279686972,2807491.273714216,6856798.848098116
USA,QAT,POL,4342993.717293928,3537552.8062802,8639844.488313612
USA,QAT,QAT,2538983410.474778,155623376.2853662,2511463978.2065377
USA,QAT,SAU,6081883.085750663,4953952.038151022,12099148.071006607
USA,QAT,SGP,40880427.7294711,33298844.357167173,81326513.73450507
USA,QAT,THA,19651430.168631308,16006924.36271286,39094070.054450914
USA,QAT,TWN,20683210.456472673,16847353.221309524,41146668.28814381
USA,QAT,USA,45089803.90699362,302171707.11089027,442169763.0781388
USA,ROU,ARE,14290113.26667712,26047147.6357943,36670446.575435564
USA,ROU,AUT,69191550.80505009,126118142.33630472,177555280.34790164
USA,ROU,BEL,49413772.17309932,90068412.68610242,126802710.28990473
USA,ROU,BGR,62252878.6602392,113470753.58720991,159749668.77279365
USA,ROU,CAN,14209864.129508222,25900874.39887338,36464515.968563534
USA,ROU,CHE,30564172.048817694,55710510.257312424,78431977.22247377
USA,ROU,CHN,51953643.917460345,94697936.12421422,133320379.49041674
USA,ROU,CZE,53367486.50528956,97275002.2350082,136948499.0242182
USA,ROU,DEU,457966496.47861546,834753421.7130632,1175206636.1587026
USA,ROU,DNK,11833214.644165715,21568862.547882255,30365698.11076397
USA,ROU,DZA,14767586.521775369,26917456.78839483,37895710.306067355
USA,ROU,EGY,12977161.982896097,23653980.045793653,33301228.36074768
USA,ROU,ESP,60215304.7565641,109756788.04351987,154520966.6915824
USA,ROU,FRA,148153317.40059552,270044838.6273239,380182312.71692264
USA,ROU,GBR,96437948.47005418,175781215.62900138,247473380.45684043
USA,ROU,GRC,25754620.104839563,46943952.06361728,66089988.44169182
USA,ROU,HUN,83010311.76828286,151306137.7171679,213016170.4181435
USA,ROU,IND,12629946.59441562,23021096.99466626,32410224.691579204
USA,ROU,ITA,181896901.60888028,331550587.61838335,466773110.0662392
USA,ROU,JPN,17783736.043286376,32415110.334754407,45635575.47214756
USA,ROU,KOR,12808239.025016053,23346077.572183676,32867748.22054826
USA,ROU,MAR,14938059.379658015,27228184.325280026,38333167.70832075
USA,ROU,MDA,18013002.353954222,32833002.994556107,46223905.16835069
USA,ROU,MEX,11224968.272531671,20460188.127656884,28804852.114691947
USA,ROU,NLD,69079764.96098156,125914385.91186583,177268422.10218263
USA,ROU,POL,51145036.111238815,93224055.09086916,131245377.78782898
USA,ROU,ROU,4335999354.049541,821866751.1761177,5912949813.255744
USA,ROU,RUS,47960785.56449701,87419997.23964483,123074141.67667891
USA,ROU,SAU,12034123.246604815,21935066.50521794,30881257.92717693
USA,ROU,SRB,16691923.599458031,30425021.14621664,42833830.717250116
USA,ROU,SVK,27273522.244963456,49712514.324098974,69987705.60762998
USA,ROU,SVN,11398259.35554553,20776052.55357114,29249541.480204355
USA,ROU,SWE,15541921.873557394,28328868.080320235,39882764.055683754
USA,ROU,TUR,65279350.44606168,118987221.9279269,167516022.3252783
USA,ROU,UKR,11977987.07643939,21832744.91512834,30737204.595297396
USA,ROU,USA,163260961.55943835,1197879324.724958,1081798736.6739974
USA,RUS,ARE,9994267.665041503,45489146.42678943,45754043.28649389
USA,RUS,BEL,31166459.28099401,141854878.95193562,142680942.19822234
USA,RUS,BGR,13933901.753938815,63420484.46415995,63789800.85048805
USA,RUS,BLR,80497535.0079956,366386440.67765355,368520018.1394775
USA,RUS,BRA,10988918.028766751,50016321.15888315,50307581.10657817
USA,RUS,CHE,15312953.52044007,69697271.30227168,70103139.28943332
USA,RUS,CHN,175830779.27097487,800297964.0590457,804958337.6681286
USA,RUS,CZE,20669092.405131433,94075864.5292857,94623696.33193114
USA,RUS,DEU,108543658.38620822,494039036.7270729,496915973.3082207
USA,RUS,DNK,8067146.625683684,36717809.28838886,36931628.037249655
USA,RUS,EGY,14430971.585123446,65682909.59553683,66065400.75782127
USA,RUS,ESP,15289048.769539544,69588468.26132317,69993702.65594378
USA,RUS,FIN,38812257.55116437,176654911.20222542,177683625.4100014
USA,RUS,FRA,40828525.49041929,185832002.5708332,186914157.71728843
USA,RUS,GBR,35861203.04921851,163223116.61241207,164173613.4763484
USA,RUS,GRC,15679849.137501702,71367205.40922403,71782797.9204885
USA,RUS,HUN,14976448.218567388,68165659.43601957,68562608.39071904
USA,RUS,IND,34193334.37571118,155631772.76885942,156538062.9746574
USA,RUS,ITA,57827100.37388853,263201419.50426152,264734119.8289125
USA,RUS,JPN,56182982.61440028,255718178.5094412,257207301.69106686
USA,RUS,KAZ,53289397.0024985,242547954.93631613,243960383.98010516
USA,RUS,KOR,49682322.47897794,226130269.65190995,227447093.62026733
USA,RUS,LTU,17435237.118309908,79356895.45666176,79819014.31475458
USA,RUS,NLD,71539034.44010128,325611612.77076775,327507746.2549407
USA,RUS,POL,58594471.3381357,266694126.65662307,268247166.0561788
USA,RUS,ROU,11165083.845576582,50818144.05425025,51114073.255683936
USA,RUS,RUS,42388358184.9749,4008105261.8650827,47886200069.71637
USA,RUS,SGP,20599497.05440578,93759099.63906202,94305086.82532583
USA,RUS,SVK,16190311.950338852,73690589.01438822,74119711.28097327
USA,RUS,SWE,18476104.04084316,84094425.95282143,84584132.86322485
USA,RUS,THA,8197344.634347859,37310408.61423215,37527678.2456179
USA,RUS,TUR,80690842.22834963,367266283.0779925,369404984.1243897
USA,RUS,TWN,13448021.016452797,61208986.75825314,61565424.93420459
USA,RUS,UKR,32861976.345395423,149572065.10269856,150443067.8243914
